id,title,ImdbId,runtime
mov_3dcca2,Oppenheimer,tt15398776,180
mov_5cb73a,American Fiction,tt23561236,117
mov_c40735,Anatomy of a Fall,tt17009710,151
mov_ea2a6c,Barbie,tt1517268,114
mov_e7bf85,The Holdovers,tt14849194,133
mov_6e1dab,Killers of the Flower Moon,tt5537002,206
mov_97af00,Maestro,tt5535276,129
mov_6f027c,Past Lives,tt13238346,105
mov_5a8475,Poor Things,tt14230458,141
mov_8575ab,The Zone of Interest,tt7160372,105
mov_09565b,Rustin,tt14160834,106
mov_303433,Nyad,tt5302918,121
mov_38eacb,The Color Purple,tt1200263,141
mov_b087b5,May December,tt13651794,117
mov_54633f,The Boy and the Heron,tt6587046,124
mov_05c0b6,Elemental,tt15789038,101
mov_52ddff,Nimona,tt19500164,101
mov_460dd8,Robot Dreams,tt13429870,103
mov_827b04,Spider-Man: Across the Spider-Verse,tt9362722,140
mov_0116ed,El Conde,tt21113540,110
mov_d5f344,The Creator,tt11858890,133
mov_fa4f2f,Mission: Impossible – Dead Reckoning Part One,tt9603212,163
mov_382425,Indiana Jones and the Dial of Destiny,tt1462764,154
mov_9f99d7,Flamin' Hot,tt8105234,99
mov_fd5816,American Symphony,tt28865980,104
mov_bb9837,Napoleon,tt13287846,158
mov_766f85,Golda,tt14454876,100
mov_c80781,Society of the Snow,tt16277242,144
mov_193999,Godzilla Minus One,tt23289160,124
mov_b29b67,Guardians of the Galaxy Vol. 3,tt6791350,150
mov_eb30dc,Io capitano,tt14225838,121
mov_d23a1c,Perfect Days,tt27503384,124
mov_dffc07,The Teachers' Lounge,tt26612950,98
mov_c037c8,20 Days in Mariupol,tt24082438,95
mov_19c361,Bobi Wine: The People's President,,
mov_4b94a3,The Eternal Memory,tt24082488,85
mov_c5dabd,Four Daughters,tt27502426,107
mov_872124,To Kill a Tiger,,
mov_feba89,The Wonderful Story of Henry Sugar,tt16968450,40
mov_b5029d,The After,tt28532006,19
mov_8136d9,Invincible,,
mov_988bcd,Knight of Fortune,,
mov_d6588e,"Red, White and Blue",tt27759823,23
mov_a9dddc,War Is Over! Inspired by the Music of John and Yoko,,
mov_d10ef6,Letter to a Pig,,
mov_ad6c6d,Ninety-Five Senses,,
mov_94666d,Our Uniform,tt28058015,7
mov_e322f0,Pachyderme,,
mov_94a7e7,The Last Repair Shop,tt29118186,39
mov_233a0d,The ABCs of Book Banning,tt29361805,27
mov_fc7727,The Barber of Little Rock,tt28627868,35
mov_3db807,Island in Between,tt30523942,20
mov_da5b5e,Nǎi Nai & Wài Pó,tt26218316,17
