id,title,ImdbId,movieDbId,runtime,posterPath,subtitlePosition
mov_61814e,Anora,tt28607951,1064213,139,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,-1
mov_61151f,The Brutalist,tt8999762,549509,215,/vP7Yd6couiAaw9jgMd5cjMRj3hQ.jpg,-1
mov_61fb21,A Complete Unknown,tt11563598,661539,140,/662Mk69uIJvjA1zb5PYP4geje9H.jpg,-1
mov_616696,Conclave,tt20215234,974576,120,/m5x8D0bZ3eKqIVWZ5y7TnZ2oTVg.jpg,-1
mov_61e922,Dune: Part Two,tt15239678,693134,167,/6izwz7rsy95ARzTR3poZ8H6c5pp.jpg,4
mov_61fb44,Emilia Pérez,tt20221436,974950,132,/7seqaCaaXDNUHOx4DqwpoOH8pPa.jpg,-1
mov_61d081,I'm Still Here,tt14961016,1000837,137,/qNLMPY3KLrYgTX2QZ5iEwwOqyRz.jpg,-1
mov_61a426,Nickel Boys,tt23055660,1028196,140,/lu2vmmtStmTNMmSZl2LgrrQpLZo.jpg,-1
mov_61cb69,The Substance,tt17526714,933260,141,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,-1
mov_61ebaf,Wicked,tt1262426,402431,162,/2E1x1qcHqGZcYuYi4PzVZjzg8IV.jpg,-1
mov_61cac3,Sing Sing,tt28479262,1155828,107,/s0TPyI8QlMiktEiq3JVhea0zFhM.jpg,-1
mov_61a9ce,The Apprentice,tt8368368,1182047,122,/5icMlNq4rx6XJ9luWAR1Nr3M9rZ.jpg,-1
mov_616116,A Real Pain,tt21823606,1013850,90,/yaTFjMNh8D78dDHrglivOTv5YOx.jpg,-1
mov_61f3d9,September 5,tt28082769,1211472,95,/3kcQOLwYKGPwyjiynFsvP8vHvRn.jpg,-1
mov_616395,Flow,tt4772188,823219,85,/imKSymKBK7o73sajciEmndJoVkR.jpg,-1
mov_61aae1,Inside Out 2,tt22022452,1022789,97,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,-1
mov_61b745,Memoir of a Snail,tt23770030,1064486,94,/lWh5OlerPR1c1cfn1ZLq0lpqFds.jpg,-1
mov_61a965,Wallace & Gromit: Vengeance Most Fowl,tt17163970,929204,79,/6BxK38ehxuX2dJmZIMpJcVNbYks.jpg,16
mov_612092,The Wild Robot,tt29623480,1184918,102,/9w0Vh9eizfBXrcomiaFWTIPdboo.jpg,-1
mov_617ba4,The Girl with the Needle,tt10236164,1232827,123,/2xkyx8v9G3ePxe1IcFugFQkXHzQ.jpg,-1
mov_61a50b,The Seed of the Sacred Fig,tt32178949,1278263,167,/d6chGhHP6vzo2VJPivLvZuwnq7j.jpg,-1
mov_610d07,Black Box Diaries,tt30227076,1214499,103,/aIgZQEdlPLlCEGOncLPe5IqiuAQ.jpg,-1
mov_6188f6,No Other Land,tt30953759,1232493,96,/s7XYieuZg9kMe07i9VI4bfGN4Pw.jpg,-1
mov_61b63f,Porcelain War,tt30294282,1214527,87,/8pJd2SAHZuckb7F7HkUfW39Kzwn.jpg,-1
mov_61ceef,Soundtrack to a Coup d'Etat,tt14452174,1214539,150,/eZOB9UurVQjpdIp72L49pyd3anw.jpg,-1
mov_61d11d,Sugarcane,tt30319854,1158874,107,/9Xx4o4MVSDv0pojOzoHMH5y85hB.jpg,-1
mov_616d5c,Death by Numbers,tt33385063,1356881,33,/jXrPzp5dCv0BCdiR4gIMNwepUmM.jpg,-1
mov_616164,"I Am Ready, Warden",tt31556921,1300245,37,/39KUvOVOD7frpv8wXEYDGcCFA3C.jpg,-1
mov_6183fb,Incident,tt27990245,1108462,30,/yZjzDtv9TyxVdWidHzzcPfNfjZH.jpg,-1
mov_61468e,Instruments of a Beating Heart,,,,,-1
mov_612c93,The Only Girl in the Orchestra,tt29497240,1195310,35,/zpsTStOYGfkF590K3kCEjWXCleN.jpg,-1
mov_6136fe,A Lien,tt30150917,1209290,99,/a3q8NkM8uTh9E23VsbUOdDSbBeN.jpg,-1
mov_610fb5,Anuja,tt27654431,1337997,22,/eULXxX3wrHm2d7lObP3G3NiXn2v.jpg,-1
mov_61195e,I'm Not A Robot,tt19837932,1178556,23,/z1II3V12txomi37TowUCO3uMlTf.jpg,-1
mov_614eab,The Last Ranger,tt15802124,1316292,27,/kpKzPqHzVrLxEDl1bFBYq3pOLqh.jpg,-1
mov_613739,The Man Who Could Not Remain Silent,tt20519854,1279229,14,/vwoVpqFX5WIw3UijQgtDCdM8guY.jpg,-1
mov_61c5e1,Beautiful Men,tt30835281,1157132,19,/ejZU0nz8De1XDm7UjN4UV0GozpT.jpg,-1
mov_61b7f1,In the Shadow of the Cypress,tt28768883,1156619,20,/eaQeIDHGa8m4H2B4vrrthOTibeH.jpg,-1
mov_61f28b,Magic Candies,tt31888603,1249728,21,/87wasB8uxNo1VFVse0QNcWSShqZ.jpg,-1
mov_61c223,Wander to Wonder,tt28768679,1156605,14,/2qT12PqjrTfw6iyVhRtzSwhOQ1D.jpg,-1
mov_616fd1,Yuck!,tt28356173,1220646,14,/5OlxNajC2xVOxjcLCTVYwWxHMHZ.jpg,-1
mov_615724,The Six Triple Eight,tt24458622,1061699,130,/7tvAnzZj9e9AjdoHaN9jshm2Cjw.jpg,-1
mov_61d1e3,Elton John: Never Too Late,tt20316978,977326,102,/zFvflqdWsrKLwh28VgOurgRlnPe.jpg,10
mov_61ac01,Nosferatu,tt5040012,426063,133,/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,-1
mov_6197f8,Maria,tt22893404,1038263,123,/6xHKEYfrO1FpVZJJnKy5BhfWVCK.jpg,-1
mov_611f55,A Different Man,tt21097228,989662,112,/lZZKTEvo92u1J5pm7QoEA5yN3du.jpg,-1
mov_61e6f2,Gladiator II,tt9218128,558449,148,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,-1
mov_61851a,Alien: Romulus,tt18412256,945961,119,/2uSWRTtCG336nuBiG8jOTEUKSy8.jpg,-1
mov_6111b6,Better Man,tt14260836,799766,135,/fbGCmMp0HlYnAPv28GOENPShezM.jpg,-1
mov_61de5a,Kingdom of the Planet of the Apes,tt11389872,653346,145,/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,-1
